timestamp,run_id,won,area,floors_cleared,bosses_defeated,deaths,interrupts,ascension,renown_gained,gold_earned,deck_size,relic_count
1779975697,"5","0","1","2","1","3","1","1","4","77","14","1"
1779977226,"6","0","1","1","0","3","0","1","1","10","13","0"
1779984016,"7","0","1","1","0","2","0","0","1","20","11","1"
1780071820,"8","0","1","1","0","3","1","0","7","0","12","0"
1780091808,"9","1","0","3","3","0","3","0","14","233","11","5"
1780118424,"10","0","1","1","0","3","1","0","1","30","16","0"
1780119091,"11","0","1","1","0","3","1","0","2","70","15","0"
1780197580,"12","1","1","4","4","1","27","0","19","317","20","4"
1780434754,"13","1","2","5","5","5","41","0","39","175","30","7"
